Source Node,Link,Destination Node,Source Type
allium,helps,fruit tree,vegetables
allium,helps,nightshades,vegetables
allium,helps,tomato,vegetables
allium,helps,capsicum,vegetables
allium,helps,pepper,vegetables
allium,helps,potato,vegetables
allium,helps,brassicas,vegetables
allium,helps,carrot,vegetables
asparagus,helps,tomato,vegetables
asparagus,helps,parsley,vegetables
bean,helps,cucumber,vegetables
bean,helps,strawberry,vegetables
beet,helps,broccoli,vegetables
beet,helps,bean,vegetables
beet,helps,cabbage,vegetables
beet,helps,lettuce,vegetables
beet,helps,kohlrabi,vegetables
beet,helps,onion,vegetables
beet,helps,brassicas,vegetables
beet,helps,passion fruit,vegetables
brassicas,helps,beet,vegetables
brassicas,helps,onion,vegetables
brassicas,helps,potato,vegetables
brassicas,helps,corn,vegetables
brassicas,helps,wheat,vegetables
broccoli,helps,lettuce,vegetables
cabbage,helps,bean,vegetables
cabbage,helps,celery,vegetables
carrot,helps,tomato,vegetables
carrot,helps,allium,vegetables
carrot,helps,bean,vegetables
carrot,helps,leeks,vegetables
carrot,helps,lettuce,vegetables
carrot,helps,onion,vegetables
carrot,helps,passion fruit,vegetables
cauliflower,helps,bean,vegetables
cauliflower,helps,celery,vegetables
cauliflower,helps,spinach,vegetables
cauliflower,helps,peas,vegetables
celery,helps,bean,vegetables
celery,helps,brassicas,vegetables
celery,helps,cucumber,vegetables
chard,helps,brassicas,vegetables
chard,helps,passion fruit,vegetables
corn,helps,bean,vegetables
corn,helps,cucurbit,vegetables
corn,helps,soybean,vegetables
corn,helps,squash,vegetables
corn,helps,tomato,vegetables
maize,helps,bean,vegetables
maize,helps,cucurbit,vegetables
maize,helps,soybean,vegetables
maize,helps,tomato,vegetables
cucumber,helps,bean,vegetables
cucumber,helps,kohlrabi,vegetables
cucumber,helps,lettuce,vegetables
cucurbit,helps,corn,vegetables
eggplant,helps,bean,vegetables
eggplant,helps,pepper,vegetables
eggplant,helps,tomato,vegetables
eggplant,helps,passion fruit,vegetables
eggplant,helps,okra,vegetables
aubergine,helps,bean,vegetables
aubergine,helps,pepper,vegetables
aubergine,helps,tomato,vegetables
aubergine,helps,passion fruit,vegetables
kohlrabi,helps,onion,vegetables
kohlrabi,helps,beet,vegetables
kohlrabi,helps,cucumber,vegetables
leek,helps,carrot,vegetables
leek,helps,celery,vegetables
leek,helps,onion,vegetables
leek,helps,tomato,vegetables
leek,helps,passion fruit,vegetables
legumes,helps,beet,vegetables
legumes,helps,lettuce,vegetables
legumes,helps,okra,vegetables
legumes,helps,potato,vegetables
legumes,helps,spinach,vegetables
legumes,helps,dill,vegetables
legumes,helps,cabbage,vegetables
legumes,helps,carrot,vegetables
legumes,helps,chards,vegetables
legumes,helps,eggplant,vegetables
legumes,helps,peas,vegetables
legumes,helps,tomato,vegetables
legumes,helps,brassicas,vegetables
legumes,helps,corn,vegetables
legumes,helps,cucumber,vegetables
legumes,helps,grapes,vegetables
lettuce,helps,beet,vegetables
lettuce,helps,bean,vegetables
lettuce,helps,okra,vegetables
lettuce,helps,onion,vegetables
lettuce,helps,radish,vegetables
lettuce,helps,broccoli,vegetables
lettuce,helps,carrot,vegetables
lettuce,helps,sunflower,vegetables
lettuce,helps,passion fruit,vegetables
mustard,helps,bean,vegetables
mustard,helps,broccoli,vegetables
mustard,helps,cabbage,vegetables
mustard,helps,cauliflower,vegetables
mustard,helps,fruit tree,vegetables
mustard,helps,grapes,vegetables
mustard,helps,radish,vegetables
mustard,helps,brussels sprouts,vegetables
mustard,helps,turnips,vegetables
okra,helps,sweet potato,vegetables
okra,helps,tomato,vegetables
okra,helps,eggplant,vegetables
okra,helps,pepper,vegetables
onion,helps,beet,vegetables
onion,helps,brassicas,vegetables
onion,helps,cabbage,vegetables
onion,helps,broccoli,vegetables
onion,helps,carrot,vegetables
onion,helps,lettuce,vegetables
onion,helps,cucumber,vegetables
onion,helps,pepper,vegetables
onion,helps,passion fruit,vegetables
onion,helps,strawberry,vegetables
onion,helps,green onion,vegetables
onion,helps,chinese cabbage,vegetables
parsnip,helps,fruit tree,vegetables
peas,helps,brassicas,vegetables
peas,helps,turnips,vegetables
peas,helps,cauliflower,vegetables
peas,helps,garlic,vegetables
pepper,helps,okra,vegetables
potato,helps,brassicas,vegetables
potato,helps,bean,vegetables
potato,helps,corn,vegetables
potato,helps,peas,vegetables
potato,helps,passion fruit,vegetables
pumpkin,helps,corn,vegetables
pumpkin,helps,bean,vegetables
radish,helps,squash,vegetables
radish,helps,eggplant,vegetables
radish,helps,cucumber,vegetables
radish,helps,lettuce,vegetables
radish,helps,peas,vegetables
radish,helps,bean,vegetables
radish,helps,"bean, pole",vegetables
spinach,helps,brassicas,vegetables
spinach,helps,cauliflower,vegetables
spinach,helps,passion fruit,vegetables
squash,helps,corn,vegetables
squash,helps,bean,vegetables
squash,helps,okra,vegetables
sweet potato,helps,okra,vegetables
tomato,helps,celery,vegetables
tomato,helps,rose,vegetables
tomato,helps,pepper,vegetables
tomato,helps,asparagus,vegetables
turnips,helps,peas,vegetables
turnips,helps,broccoli,vegetables
rutabagas,helps,peas,vegetables
rutabagas,helps,broccoli,vegetables
strawberry,helps,bean,fruits
strawberry,helps,lettuce,fruits
strawberry,helps,onion,fruits
strawberry,helps,spinach,fruits
strawberry,helps,passion fruit,fruits
basil,helps,tomato,herbs
basil,helps,pepper,herbs
basil,helps,oregano,herbs
basil,helps,asparagus,herbs
basil,helps,petunias,herbs
basil,helps,grapes,herbs
borage,helps,bean,herbs
borage,helps,strawberry,herbs
borage,helps,cucurbit,herbs
borage,helps,cucumber,herbs
borage,helps,squash,herbs
borage,helps,fruit tree,herbs
borage,helps,tomato,herbs
borage,helps,cabbage,herbs
caraway,helps,strawberry,herbs
catnip,helps,eggplant,herbs
chamomile,helps,anise,herbs
chamomile,helps,basil,herbs
chamomile,helps,borage,herbs
chamomile,helps,caraway,herbs
chamomile,helps,catnip,herbs
chamomile,helps,chamomille,herbs
chamomile,helps,chervil,herbs
chamomile,helps,chives,herbs
chamomile,helps,cilantro,herbs
chamomile,helps,corier,herbs
chamomile,helps,dill,herbs
chamomile,helps,fennel,herbs
chamomile,helps,flax,herbs
chamomile,helps,garlic,herbs
chamomile,helps,hyssop,herbs
chamomile,helps,lavender,herbs
chamomile,helps,lemon grass,herbs
chamomile,helps,lovage,herbs
chamomile,helps,oregano,herbs
chamomile,helps,parsley,herbs
chamomile,helps,peppermint,herbs
chamomile,helps,rosemary,herbs
chamomile,helps,sage,herbs
chamomile,helps,southernwood,herbs
chamomile,helps,spearmint,herbs
chamomile,helps,stinging nettle,herbs
chamomile,helps,summer savory,herbs
chamomile,helps,tarragon,herbs
chamomile,helps,thyme,herbs
chamomile,helps,wormwood,herbs
chamomile,helps,yarrow,herbs
chamomile,helps,brassicas,herbs
chamomile,helps,cucumber,herbs
chamomile,helps,wheat,herbs
chamomile,helps,onion,herbs
chamomile,helps,cabbage,herbs
chervil,helps,radish,herbs
chervil,helps,lettuce,herbs
chervil,helps,broccoli,herbs
chives,helps,apples,herbs
chives,helps,carrot,herbs
chives,helps,grapes,herbs
chives,helps,rose,herbs
chives,helps,tomato,herbs
chives,helps,brassicas,herbs
chives,helps,broccoli,herbs
chives,helps,cabbage,herbs
chives,helps,mustard,herbs
cilantro,helps,anise,herbs
cilantro,helps,cabbage,herbs
cilantro,helps,spinach,herbs
cilantro,helps,lettuce,herbs
cilantro,helps,tomato,herbs
coriander,helps,anise,herbs
coriander,helps,cabbage,herbs
coriander,helps,spinach,herbs
coriander,helps,lettuce,herbs
coriander,helps,tomato,herbs
dill,helps,brassicas,herbs
dill,helps,broccoli,herbs
dill,helps,cabbage,herbs
dill,helps,corn,herbs
dill,helps,eggplant,herbs
dill,helps,aubergine,herbs
dill,helps,fennel,herbs
dill,helps,lettuce,herbs
dill,helps,onion,herbs
dill,helps,cucumber,herbs
fennel,helps,dill,herbs
flax,helps,carrot,herbs
flax,helps,potato,herbs
garlic,helps,vetch,herbs
garlic,helps,brassicas,herbs
garlic,helps,beet,herbs
garlic,helps,rose,herbs
garlic,helps,tomato,herbs
garlic,helps,cucumber,herbs
garlic,helps,lettuce,herbs
garlic,helps,celery,herbs
garlic,helps,peas,herbs
garlic,helps,potato,herbs
hyssop,helps,brassicas,herbs
hyssop,helps,cabbage,herbs
hyssop,helps,grapes,herbs
lavender,helps,chamomille,herbs
lavender,helps,lettuce,herbs
lavender,helps,brassicas,herbs
lavender,helps,onion,herbs
lavender,helps,tomato,herbs
lavender,helps,oregano,herbs
lavender,helps,thyme,herbs
lavender,helps,marjoram,herbs
lavender,helps,sage,herbs
lavender,helps,rosemary,herbs
lavender,helps,basil,herbs
lavender,helps,lemon balm,herbs
lavender,helps,squash,herbs
lemon grass,helps,eggplant,herbs
lovage,helps,bean,herbs
oregano,helps,grapes,herbs
oregano,helps,tomato,herbs
oregano,helps,pepper,herbs
oregano,helps,pumpkin,herbs
parsley,helps,asparagus,herbs
parsley,helps,corn,herbs
parsley,helps,maize,herbs
parsley,helps,tomato,herbs
peppermint,helps,allium,herbs
peppermint,helps,brassicas,herbs
peppermint,helps,cabbage,herbs
peppermint,helps,peas,herbs
peppermint,helps,tomato,herbs
rosemary,helps,cabbage,herbs
rosemary,helps,bean,herbs
rosemary,helps,brassicas,herbs
rosemary,helps,carrot,herbs
rosemary,helps,thyme,herbs
sage,helps,brassicas,herbs
sage,helps,rosemary,herbs
sage,helps,cabbage,herbs
sage,helps,bean,herbs
sage,helps,brussels sprouts,herbs
sage,helps,carrot,herbs
sage,helps,strawberry,herbs
sage,helps,tomato,herbs
sage,helps,marjoram,herbs
southernwood,helps,brassicas,herbs
southernwood,helps,fruit tree,herbs
spearmint,helps,allium,herbs
spearmint,helps,brassicas,herbs
spearmint,helps,cabbage,herbs
spearmint,helps,peas,herbs
spearmint,helps,tomato,herbs
stinging nettle,helps,chamomille,herbs
stinging nettle,helps,mints,herbs
stinging nettle,helps,broccoli,herbs
stinging nettle,helps,tomato,herbs
stinging nettle,helps,valerian,herbs
stinging nettle,helps,angelica archangelica,herbs
stinging nettle,helps,marjoram,herbs
stinging nettle,helps,sage,herbs
stinging nettle,helps,peppermint,herbs
summer savoury,helps,bean,herbs
summer savoury,helps,melon,herbs
summer savoury,helps,onion,herbs
tarragon,helps,allium,herbs
tarragon,helps,asparagus,herbs
tarragon,helps,bean,herbs
tarragon,helps,bush,herbs
tarragon,helps,bean,herbs
tarragon,helps,pole,herbs
tarragon,helps,bean,herbs
tarragon,helps,fava,herbs
tarragon,helps,beet,herbs
tarragon,helps,brassicas,herbs
tarragon,helps,broccoli,herbs
tarragon,helps,brussels sprouts,herbs
tarragon,helps,cabbage,herbs
tarragon,helps,carrot,herbs
tarragon,helps,cauliflower,herbs
tarragon,helps,celery,herbs
tarragon,helps,chards,herbs
tarragon,helps,corn,herbs
tarragon,helps,maize,herbs
tarragon,helps,cucumber,herbs
tarragon,helps,cucurbit,herbs
tarragon,helps,eggplant,herbs
tarragon,helps,aubergine,herbs
tarragon,helps,kohlrabi,herbs
tarragon,helps,leeks,herbs
tarragon,helps,lettuce,herbs
tarragon,helps,mustard,herbs
tarragon,helps,nightshades,herbs
tarragon,helps,okra,herbs
tarragon,helps,onion,herbs
tarragon,helps,parsnip,herbs
tarragon,helps,peas,herbs
tarragon,helps,pepper,herbs
tarragon,helps,potato,herbs
tarragon,helps,pumpkin,herbs
tarragon,helps,radish,herbs
tarragon,helps,soybean,herbs
tarragon,helps,spinach,herbs
tarragon,helps,squash,herbs
tarragon,helps,sweet potato,herbs
tarragon,helps,tomato,herbs
tarragon,helps,turnips,herbs
tarragon,helps,rutabagas,herbs
tarragon,helps,eggplant,herbs
thyme,helps,brassicas,herbs
thyme,helps,cabbage,herbs
thyme,helps,eggplant,herbs
thyme,helps,aubergine,herbs
thyme,helps,potato,herbs
thyme,helps,strawberry,herbs
thyme,helps,tomato,herbs
thyme,helps,brussels sprouts,herbs
wormwood,helps,brassicas,herbs
wormwood,helps,carrot,herbs
yarrow,helps,"""",herbs
alyssum,helps,grapes,flowers
alyssum,helps,lettuce,flowers
bee balm,helps,tomato,flowers
dianthus,helps,rose,flowers
dianthus,helps,lavender,flowers
dianthus,helps,echinacea,flowers
dianthus,helps,aster,flowers
dianthus,helps,foxglove,flowers
geraniums,helps,rose,flowers
geraniums,helps,corn,flowers
geraniums,helps,pepper,flowers
geraniums,helps,grapes,flowers
larkspur,helps,bean,flowers
larkspur,helps,cabbage,flowers
lupin,helps,cucurbit,flowers
lupin,helps,brassicas,flowers
lupin,helps,lettuce,flowers
lupin,helps,rosemary,flowers
lupin,helps,dill,flowers
lupin,helps,strawberry,flowers
lupin,helps,rose,flowers
marigold,helps,tomato,flowers
marigold,helps,pepper,flowers
marigold,helps,cucurbit,flowers
marigold,helps,cucumber,flowers
marigold,helps,gourds,flowers
marigold,helps,squash,flowers
marigold,helps,potato,flowers
marigold,helps,rose,flowers
marigold,helps,allium,flowers
marigold,helps,brassicas,flowers
marigold,helps,zucchini,flowers
nasturtium,helps,bean,flowers
nasturtium,helps,squash,flowers
nasturtium,helps,tomato,flowers
nasturtium,helps,fruit tree,flowers
nasturtium,helps,brassicas,flowers
nasturtium,helps,radish,flowers
nasturtium,helps,cucumber,flowers
pansy,helps,allium,flowers
pansy,helps,onion,flowers
pansy,helps,rose,flowers
petunia,helps,cucurbit,flowers
petunia,helps,squash,flowers
petunia,helps,pumpkin,flowers
petunia,helps,cucumber,flowers
petunia,helps,asparagus,flowers
phacelia,helps,lettuce,flowers
phacelia,helps,tomato,flowers
phacelia,helps,rose,flowers
sunflower,helps,pepper,flowers
sunflower,helps,corn,flowers
sunflower,helps,cucumber,flowers
sunflower,helps,soybean,flowers
sunflower,helps,tomato,flowers
sunflower,helps,swan plant,flowers
swan plant,helps,sunflower,flowers
sweet pea,helps,sweet alyssum,flowers
sweet pea,helps,lobelia,flowers
sweet pea,helps,rose,flowers
sweet pea,helps,lavender,flowers
sweet pea,helps,catmint,flowers
tansy,helps,bean,flowers
tansy,helps,brassicas,flowers
tansy,helps,cucurbit,flowers
tansy,helps,cucumber,flowers
tansy,helps,squash,flowers
tansy,helps,raspberries,flowers
tansy,helps,relatives,flowers
tansy,helps,rose,flowers
tansy,helps,corn,flowers
tansy,helps,fruit tree,flowers
zinnia,helps,bean,flowers
zinnia,helps,tomato,flowers
zinnia,helps,pepper,flowers
artichoke,helps,kale cabbage,vegetables
artichoke,helped_by,kale cabbage,vegetables
allium,helped_by,carrot,vegetables
allium,helped_by,tomato,vegetables
allium,helped_by,carrot,vegetables
allium,helped_by,marigolds,vegetables
allium,helped_by,mints,vegetables
asparagus,helped_by,dill,vegetables
asparagus,helped_by,corier,vegetables
asparagus,helped_by,tomato,vegetables
asparagus,helped_by,parsley,vegetables
asparagus,helped_by,basil,vegetables
asparagus,helped_by,comfrey,vegetables
asparagus,helped_by,marigolds,vegetables
asparagus,helped_by,nasturtiums,vegetables
bean,helped_by,celery,vegetables
bean,helped_by,strawberry,vegetables
bean,helped_by,grains,vegetables
"bean, pole",helped_by,radish,vegetables
"bean, pole",helped_by,corn,vegetables
"bean, fava",helped_by,strawberry,vegetables
"bean, fava",helped_by,celery,vegetables
beet,helped_by,onion,vegetables
beet,helped_by,kohlrabi,vegetables
beet,helped_by,catnip,vegetables
beet,helped_by,garlic,vegetables
beet,helped_by,lettuce,vegetables
beet,helped_by,brassicas,vegetables
beet,helped_by,mints,vegetables
brassicas,helped_by,beet,vegetables
brassicas,helped_by,spinach,vegetables
brassicas,helped_by,chards,vegetables
brassicas,helped_by,celery,vegetables
brassicas,helped_by,chamomille,vegetables
brassicas,helped_by,marigolds,vegetables
brassicas,helped_by,dill,vegetables
brassicas,helped_by,sage,vegetables
brassicas,helped_by,peas,vegetables
brassicas,helped_by,peppermint,vegetables
brassicas,helped_by,spearmint,vegetables
brassicas,helped_by,spurrey,vegetables
brassicas,helped_by,rosemary,vegetables
brassicas,helped_by,rye-grass,vegetables
brassicas,helped_by,garlic,vegetables
brassicas,helped_by,onion,vegetables
brassicas,helped_by,potato,vegetables
brassicas,helped_by,geraniums,vegetables
brassicas,helped_by,allium,vegetables
brassicas,helped_by,nasturtiums,vegetables
brassicas,helped_by,borage,vegetables
brassicas,helped_by,hyssop,vegetables
brassicas,helped_by,tansy,vegetables
brassicas,helped_by,tomato,vegetables
brassicas,helped_by,thyme,vegetables
brassicas,helped_by,wormwood,vegetables
brassicas,helped_by,southernwood,vegetables
brassicas,helped_by,bean,vegetables
brassicas,helped_by,clover,vegetables
broccoli,helped_by,mustard,vegetables
broccoli,helped_by,rabe,vegetables
broccoli,helped_by,beet,vegetables
broccoli,helped_by,dill,vegetables
broccoli,helped_by,lettuce,vegetables
broccoli,helped_by,mustard,vegetables
broccoli,helped_by,onion,vegetables
broccoli,helped_by,tomato,vegetables
broccoli,helped_by,turnips,vegetables
broccoli,helped_by,clover,vegetables
brussels sprouts,helped_by,sage,vegetables
brussels sprouts,helped_by,thyme,vegetables
brussels sprouts,helped_by,clover,vegetables
cabbage,helped_by,bean,vegetables
cabbage,helped_by,clover,vegetables
